agency,agency_name,id,use_case_name,agency_bureau,contact_email,is_withheld,development_stage,is_high_impact,HI_justification,topic_area,classification,problem_solved,benefits,system_outputs,operational_date,contracting_usage,vendor_name,have_ato,system_name_ato,data_description,link_to_data,has_pii,pia_url,demographic_features,has_custom_code,code_url,hi_testing_conducted,hi_assessment_completed,hi_potential_impacts,hi_independent_review,hi_ongoing_monitoring,hi_training_established,hi_failsafe_presence,hi_appeal_process,hi_public_consultation
DHS,Department of Homeland Security,DHS-310,Customs Broker License Exam - Proctor Support,CBP,ai@hq.dhs.gov,,Deployed,"Presumed High-Impact, but Not High-impact","This is not a high impact case because this would only be used in for examinees taking the Customs Broker License Exam and not used in requests for federal services, processes, and benefits to include loans and access to public housing. This is just a feature that the CBP exam vendor uses to detect cheating during the exam.",HR,Computer Vision,Detect potential cheating during the Customs Broker License Exam.,"The model supports remote proctoring of the exam and ensure the integrity of the testing process, by ensuring the exam is conducted under secure conditions, preventing cheating or fraud, while also verifying the identity of exam takers to confirm they meet the necessary requirements.","Integrity reports, identity confirmation, proctoring complicance feedback, and test results.",2023-03-31 00:00:00,Contracting and In House,PDRI,No,,"PDRI trains its AI models for assessments by combining expert human ratings with robust data, using seasoned raters to score responses first, then training AI on these expert-validated examples, and continuously testing the AI's outputs against human judgments to ensure accuracy, fairness, and adherence to psychological testing standards.",,Yes,https://www.dhs.gov/sites/default/files/2023-04/privacy-pia-cbp077-bmp-march2023.pdf.pdf,[],No,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-35,Autonomous Surveillance Tower,CBP,ai@hq.dhs.gov,,Deployed,"Presumed High-Impact, but Not High-impact","The AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services. The AI provides alerts when it detects the presence of an IoI (i.e., persons, vehicles, animals) in the image frame. With regard to persons, this computer vision application is trained to determine if the object in the image frame is a person with a certain of level of confidence and not another object that may be shaped similarly to a person. After the alert of a detection, a trained agent or user, reviews the image to identify and classify the activity taking place. The AI merely alerts to the presence of an item it was trained to detect. This is not a biometric system and does not identify or track specific individuals.",Law Enforcement,Classical ML,"CBP's limited manpower constrains its ability to manually monitor all areas of the border at all times. To account for this limitation, surveillance and sensor systems assist in monitoring the border.","AST machine learning assisted system is augmenting the U.S. Border Patrol by enhancing the capabiltiies of individual users when carrying out the domain awareness mission. 
The expected benefit is to have ability of single person to monitor magnitude greater area than could be done with conventional CCTV or human surveillance. The ultimate outcome for the agency and the public is greater availability of the agents to solve and address more complex tasks and allow for better strategic/tactical deployment of existing resources and personnel.","The AI provides alerts when it detects the presence of an IoI (i.e., persons, vehicles, animals) in the image frame.  With regard to persons, this computer vision application is trained to determine if the object in the image frame is a person with a certain of level of confidence and not another object that may be shaped similarly to a person.  After the alert of a detection, a trained agent or user, reviews the image to identify and classify the activity taking place.  The AI merely alerts to the presence of an item it was trained to detect. This is not a biometric system and does not identify or track specific individuals.",2020-01-01 00:00:00,Vendor Purchased,Anduril,Yes,Autonomous Surveillance Towers,Meta-data and data created by CBP. Generally comprised of agent adjudications of autonomous sensory inputs of items of interests by the system.,,No,"https://cbpgov.sharepoint.com/:b:/r/sites/AutonomousSurveillanceTowerASTProgram/Shared%20Documents/General/Tech,%20Cyber,%20Eng%20docs,%20Anduril%20docs,%20Data%20sheets/AST%20CyberSec%20-%20ATOs,%20PTAs,%20ATTs/PTAs/Disposition%20PTA,%20CBP%20-%20Autonomous%20Surveillance%20Towers%20(AST),%2020230906,%20PRIV%20Final.pdf?csf=1&web=1&e=Q9OWDC",[],Yes,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-37,Automated Item of Interest Detection,CBP,ai@hq.dhs.gov,,Deployed,"Presumed High-Impact, but Not High-impact","The AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services. The AI runs on video and images captured from lawfully deployed technologies used to support the U.S. Border Patrol mission between Ports of Entry. The AI provides alerts when it detects the presence of an IoI, such as persons, vehicles, animals in the image frame. With regard to persons, this computer vision application is trained to determine if the object in the image frame is a person with a certain of level of confidence and not another object that may be shaped similarly to a person. After the alert of a detection, a trained agent or user, reviews the image to identify and classify the activity taking place. The AI merely alerts to the presence of an item it was trained to detect.",Law Enforcement,Classical ML,"The software is designed to analyze photographs and video feeds captured by field imaging equipment for review by U.S. Border Patrol (USBP) agents and personnel. Using proprietary software, the system processes and annotates images to identify whether they contain human subjects, animals, or vehicles. The system is designed to incorporate future enhancements that expand its detection capabilities and to improve accuracy based on user feedback.","The software analyzes images and video that are taken by operationally deployed equipment, which are then fed into CBP systems for review by USBP agents, Office of Field Operations (OFO) officers, and other CBP users. It provides quick identification of people either crossing into the U.S. at a time and place other than designated for entry, circumventing security at a port of entry, or those already inside the U.S. trying to elude capture, as well as the ability for human operators to quickly determine if subjects in an image are, in fact, human.",The system creates a layer which is overlaid over the image to produce a box around items of interest it has determined to be likely human beings.,2020-01-31 00:00:00,Contracting and In House,Matroid,Yes,I4 Viewer,All of the image data fed to the models are owned by USBP.,,No,,[],Yes,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-38,Vessel Detection,CBP,ai@hq.dhs.gov,,Deployed,"Presumed High-Impact, but Not High-impact",The computer vision application scans a large grid within the viewshed of the high-definition camera. It then attempts to detect small vessels detecting entering and exiting small waterways in and around the area the camera is deployed.  System is calibrated to detect to identify inbound and outbound traffic.  When it detects a vessel it sends and image to the cloud for user review and determination if any follow-up action is required.  The AI output does not serve as a principal basis for decisions or actions related to the definition of High-Impact AI.,Law Enforcement,Computer Vision,"The system uses AI-enhanced technologies and analytics to improve maritime detection and tracking in areas with significant trade and recreational water vessel activity. The system increases situational awareness and responsiveness to potential threats, assisting human operators in identifying and classifying vessels of interest. Agents can define a search area with specific criteria, which is transmitted to sensors. Detected images are analyzed by AI algorithms that filter, detect, and categorize objects into Items of Interest (IoI) or other objects. IoIs are shared across detection systems and tracked seamlessly across multiple sensors, while non-relevant objects are excluded. This approach enhances efficiency in detecting and addressing IoIs, particularly during high-traffic periods, by providing alerts and tracking information to human operators.","Current surveillance technology does not have machine assisted classification of targets on screen, making it harder for human operators to decipher legitimate from illegitimate traffic in times of high volumes of legitimate traffic.  Project intends to support human operator identification and classification of potential illicit vessels.  Benefits would be more efficient detection and resolution of IOIs, especially during times of high-volume traffic.",Alerts and tracks of detected Items of Interest (IOI)s to human operator workstations.,2025-07-28 00:00:00,Contracting and In House,JHU APL,No,,CBP images of open water ways for vessels.,,No,,[],Yes,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-401,Vault Access Log (SPVAA),CBP,ai@hq.dhs.gov,,Deployed,"Presumed High-Impact, but Not High-impact","This use case uses facial recognition technology in Seized Property Vault Activity Automation (SPVAA) to create a log of access to a seized property vault. Photos of the CBP personnel accessing the vault are loaded into the application and logs the entrance request, the case number associated with the entrance request, and the individual’s access to the vault.",Admin Functions,Computer Vision,Automate identification of personnel entering into secure seized property vault.,"The system will enhance monitoring and minimizes the risk of unauthorized access, contributing to stronger security protocols for handling seized property.",Leverages DHS facial matching technologies to provide a match or no match response.,2022-08-01 00:00:00,Contracting and In House,NEC,Yes,Traveler Verification Service,Border Crossing Information,,Yes,https://www.dhs.gov/collections/privacy-impact-assessments-pia,[],Yes,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-65,Aircraft Landing Location Predictor (KESTREL),CBP,ai@hq.dhs.gov,,Deployed,"Presumed High-Impact, but Not High-impact","The AI predicts aircraft landing locations.  The AI outputs do not produce an action or serve as a principal basis for a decision that has the potential to significantly impact the safety of human-life or well-being, climate or environment, critical infrastructure, or strategic assets or resources. The AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services.",Transportation,Classical ML,Monitoring activities in the air and maritime domains to identify unusual patterns or behaviors.,The system analyzes potential landing locations for aircraft to support response planning and preparation.,"The output provides a visual representation of the top three potential locations, using color-coded indicators to show the likelihood of each outcome.",2022-10-01 00:00:00,Vendor Purchased,Maxar,Yes,KESTREL,Data is provided from a surveillance system in the form of real-time messages on detected tracks within the system.,,Yes,,[],Yes,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-81,Passport Anomaly Model,CBP,ai@hq.dhs.gov,,Deployed,"Presumed High-Impact, but Not High-impact","The AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services.
The AI output is an assessment of passport validity in response to an officer's request for passport validation. This result could be related to an inconsistency or abnormality in a passport's pattern. This is a tool available to CBP officers for confirming the validity of a passport. This result is used to notify the CBP officer that a passport may require review, as it may be part of a newly released sequence, may be invalid, or even possibly fraudulent. This is only one piece of information provided to CBP Officers during the normal course of their duties. The officers would use any results provided to research the validity of the passport through other sources.",Law Enforcement,Classical ML,"The Passport Anomaly Model addresses challenges stemming from the lack of formal notification regarding updates to passport series, such as issuance of new series or expiration of old ones. By analyzing historical trends, the model evaluates whether a passport exhibits typical or atypical characteristics and alerts officers when further scrutiny may be warranted. This capability enhances the integrity of travel document verification by enabling CBP personnel to conduct thorough and efficient reviews, ensuring security and accuracy in the inspection process.",The model assists CBP personnel in passenger targeting and vetting by analyzing anomalies in Electronic System for Travel Authorization (ESTA) and non-ESTA country-specific traveler passports to improve the accuracy of matching and streamlining the screening process by reducing errors and enhancing the identification of high-risk travelers.,"The model’s outputs are integrated into the Advanced Targeting System (ATS) application, delivering real-time results that assist CBP personnel in detecting passport anomalies and potentially fraudulent documents.",2017-07-01 00:00:00,In-house Development,ManTech,Yes,Automated Targeting System (ATS),This model leverages data provided by air carriers within the Advance Passenger Information System (APIS) and Electronic System for Travel Authorization (ESTA).,,Yes,https://www.dhs.gov/sites/default/files/publications/privacy_pia_cbp_tsacop_09162014.pdf,['c) Age'],Yes,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-86,Agriculture Commodity Model (AGC),CBP,ai@hq.dhs.gov,,Deployed,"Presumed High-Impact, but Not High-impact","The AI outputs do not produce an action or serve as a principal basis for a decision that has the potential to significantly impact the safety of human-life or well-being, climate or environment, critical infrastructure, or strategic assets or resources. The use case identifies agricultural pest risk in cargo shipments entering the United States. If a cargo shipment is identified as high-risk for pest infestation, it is prioritized for inspection. The model does not track or identify individuals.",Law Enforcement,Classical ML,"AI/ML Model aids CBP personnel in accurately and efficiently identifying cargo shipments at risk for agricultural pests in compliance with APTL's agricultural monitoring program. Due to the excessive volume and velocity of inbound cargo shipments, CBP personnel cannot possibly evaluate every shipment for risk. AI/ML models assist in performing a greater depth of risk assessment across all inbound cargo shipments to identify the most likely ones that would require additional attention, analysis and possible examination.",The AGC Model uses data analytics and risk indicators to prioritize inspections and allocate resources effectively. This proactive approach helps protect the U.S. food supply and agricultural economy while facilitating legitimate trade.,"CBP agriculture specialists use the AGC Model's risk assessment outputs, such as risk scores to prioritize further screening of cargo shipments.",2022-07-01 00:00:00,In-house Development,,Yes,Automated Targeting System (ATS),"This model leverages data provided by carriers within the Automated Commercial Environment (ACE), as well as transformations of that data within the Automated Targeting System (ATS).",,Yes,,[],Yes,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-95,Trade Entity Risk Model,CBP,ai@hq.dhs.gov,,Deployed,"Presumed High-Impact, but Not High-impact","The Trade Entity Risk model/tool enhances cargo predictive threat models by providing a comprehensive risk profile that aggregates historical trade entity transactions, trading partner relationships, reviews, examinations, and violations (within CBP data holdings) to create quantifiable risk measures for all trade entities. The AI model serves as an input to larger AI/ML cargo risk targeting models to better assess cargo threats and inform focus areas for trade targeting. Its outputs are not directly shared with users or operators and the output does not serve as a principal basis for decision or actions.",Law Enforcement,Classical ML,The need to continuously assess and identify trade entity risk to help better assess cargo threats.,"The Trade Entity Risk model enhances existing predictive threat models by compiling a risk profile that includes historical transaction data, relationships with trading partners, and relevant compliance information. This aggregated data helps create measurable risk indicators for trade entities.","The calculated risk measures produced by the Trade Entity Risk model can be integrated into broader AI and machine learning systems to improve the evaluation of cargo-related threats. This output supports the standardization of trade entity risk, facilitating better data development for future predictive models.",2025-07-15 00:00:00,In-house Development,ManTech,Yes,Automated Targeting System (ATS),"This model leverages data provided by carriers within the Automated Commercial Environment (ACE), as well as transformations of that data within the Automated Targeting System (ATS).",,Yes,https://www.dhs.gov/sites/default/files/publications/privacy_pia_cbp_tsacop_09162014.pdf,[],Yes,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2366,CBP Careers Bot - Leo,CBP,ai@hq.dhs.gov,,Deployed,Not High-impact,,Service Delivery,NLP,"The Natural Language Processing (NLP) chatbot is intended to help visitors to the CBP careers site navigate complex and extensive career resources quickly and easily. By providing a guided, interactive experience, the chatbot simplifies access to the most relevant career information, on a user-by-user basis. Additionally, the chatbot can direct users to CBP recruiters and recruitment events, strengthening the agency's recruitment network and fostering more direct engagement with prospective candidates.","Visitors to the U.S. Customs and Border Protection (CBP) careers website can engage with a Natural Language Processing (NLP) based chat bot to help access CBP career related information and drive users to take the next action such as contacting a recruiter, attending a career event, or applying for a CBP career to help access CBP career related information and drive users to take the next action. These data-driven responses will allow for more natural, conversational interactions to increase usability and accuracy in provided information.",The NLP-chatbot will provide natural language responses to user queries.,2025-09-30 00:00:00,Contracting and In House,Salesforce Einstein,Yes,C2RMT,User input is categorized and captured in Salesforce to refine the chatbot's interpretation of future inputs.,,No,,[],No,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2373,CBP Employee Experience,CBP,ai@hq.dhs.gov,,Deployed,Not High-impact,,Admin Functions,NLP,"Parsing through voluminous amounts of qualitative and quantitative data from recruit/applicant/employee survey data. The technology provides actionable intelligence for senior leaders to better improve the recruit/applicant/employee experience, thereby increasing both yield rates and resiliency.","CBP Employee Experience is intended to ingest, interpret, and operationalize employee experience data originating from survey results and operational data to deliver real time insights related to the experience of USBP recruits, applicants, and employees. These metrics inform HRM leadership of opportunities for process improvement in order to meet congressionally mandated hiring targets and retain a qualified workforce.","Real time insights related to the experience of USBP recruits, applicants, and employees.",2023-10-01 00:00:00,Contracting and In House,Medallia,Yes,MASS,"The platform uses a supervised machine learning model trained on baseline non-governmental data, which is regularly updated and tested for accuracy. CBP can further train the model by correcting sentiment tags, allowing the system to learn from feedback through both hard and soft rules.",,No,,[],No,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2451,Position Description Generation and Evaluation,CBP,ai@hq.dhs.gov,,Deployed,Not High-impact,,HR,Generative AI,"Federal agencies often face challenges in creating accurate, consistent, and well-structured position descriptions (PDs) due to limited resources, the time-intensive nature of the classification process, and varying levels of expertise among HR staff and Hiring Managers. Inaccurate or poorly written PDs can lead to misclassification, legal disputes, grievances, and difficulties attracting qualified candidates, ultimately impacting workforce quality and agency performance.","ClassifAI is designed to streamline and enhance the position description (PD) creation and classification process by leveraging generative AI to produce drafts of accurate, consistent, and standards-compliant PDs. By reducing administrative burdens, improving PD quality, and minimizing classification risks, ClassifAI enables agencies to optimize workforce management, attract top talent, and achieve greater operational efficiency with fewer resources.","ClassifAI generates accurate, standards-compliant drafts of position descriptions (PDs) with tailored classification recommendations, robust and customizable language, and supporting documentation.",2025-05-16 00:00:00,Contracting and In House,Starlo and Deloitte,No,,"Publicly available position descriptions (primarily from the DoD), OPM standards and guidelines (e.g., the OPM classifier’s handbook), and CBP position descriptions.",,No,,[],Yes,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2529,Global Entry Mobile App Traveler AI Question Answering Service,CBP,ai@hq.dhs.gov,,Deployed,Not High-impact,,Admin Functions,Generative AI,Travelers submitting a question to the Global Entry support team.,"Faster workflow, faster customer response time, reduce the number of people it takes to address customer concerns, less expensive.","The output is the answer to a traveler's question. The AI model is directed to answer the question from the context information we give it, verbatim.",2025-06-16 00:00:00,In-house Development,,Yes,Global Entry,"Previous production traveler questions that were sanitized and anonymized, mock traveler questions.",,Yes,,[],Yes,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2530,ChatCBP,CBP,ai@hq.dhs.gov,,Deployed,Not High-impact,,IT,Generative AI,Workforce enablement and efficiency.,"Improving Operational Efficiency: Automating information retrieval, reducing manual review time, and streamlining workflows will lead to significant time savings and increased productivity for CBP personnel. This translates to cost savings and allows agents to focus on higher-priority tasks. _x000D_
_x000D_
Enhancing Decision-Making: Providing quick and accurate access to relevant information will improve the quality and consistency of decisions across the agency. _x000D_
_x000D_
Increasing Mission Effectiveness: By applying LLM capabilities to critical use cases like hot list review and violation coding, we can enhance accuracy, reduce errors, and improve overall mission success rates.","Generative LLM that will allow users to upload, search, delete, summarize documents, conduct advanced searches, and identify similar language in documents and receive natural language-style outputs in response to their prompts.",2025-07-30 00:00:00,In-house Development,,No,,Internal CBP document samples are used to test the efficacy and accuracy of performance of chatCBP.,,Yes,,[],Yes,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2704,GenAI for Document Summarization and Content Generation,CBP,ai@hq.dhs.gov,,Deployed,Not High-impact,,Admin Functions,Generative AI,Workforce enablement and efficiency through the implementation of Generative AI / Large Language Models (LLM),"Improving Operational Efficiency: Automating information retrieval, reducing manual review time, and streamlining workflows will lead to significant time savings and increased productivity for CBP personnel. This translates to cost savings and allows agents to focus on higher-priority tasks. 

Enhancing Decision-Making: Providing quick and accurate access to relevant information will improve the quality and consistency of decisions across the agency.","Generative LLM applications deployed in a stand alone capacity or embedded in existing systems that will allow users to upload, search, summarize documents, conduct advanced searches, and identify similar language in documents and receive natural language-style outputs in response to their prompts.",2025-03-01 00:00:00,Contracting and In House,"Meta, OpenAI, Google, Anthropic",No,,"The commercial LLMs used for this use case were trained using a diverse range of publicly available data, including text from books, articles, websites, and other sources and data types.",,No,,[],Yes,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-399,Cyber Threat Analysis (Recorded Future),CBP,ai@hq.dhs.gov,,Deployed,Not High-impact,,Law Enforcement,Classical ML,"The system uses the Recorded Future's platform to streamline CBP Cyber Threat Intelligence (CTI) operations by automating the identification and analysis of relevant cyber threat activity and leverages AI/ML to transform unstructured text into structured data using natural language processing, classify events and entities to prioritize threats, forecast events through predictive modeling, and represent structured knowledge using ontologies. It enables analysts to rapidly assess vulnerabilities in CBP’s IT environment, identify adversary data, and generate cyber risk assessments, providing actionable intelligence to enhance efficiency and support Security Operations and Cyber Risk Management investigations.","Cyber Threat Analysis quickly populates query results when searching against adversary tactics, techniques, and procedures, establishing a threat scorecard. This service can also provide cyber risk scorecards for third party vendors, companies, and organizations.",Actionable intelligence supporting Security Operations Center (SOC) and Cyber Risk Management (CRM) investigations and reports.,2024-06-20 00:00:00,Vendor Purchased,Recorded Future,No,,"Recorded Future AI is trained on over 10 years of threat analysis from Insikt Group, the company’s threat research division, and is combined with the insights of the Recorded Future Intelligence Graph.",,No,,[],No,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-68,Empty Container Detection Model (Cargo Insights Team),CBP,ai@hq.dhs.gov,,Deployed,Not High-impact,,Law Enforcement,Classical ML,"This enhances border security and optimizes resource allocation for inspections. The model is designed to accurately identify and track empty containers in cargo shipments, preventing errors and fraud in cargo declarations.","The AI improves accuracy, enhances efficiency by prioritizing legitimate containers for inspection, and strengthens security by detecting potential smuggling risks.","The system applies a prediction label alongside a bounding box on record.  Officers use this information along with all information provided to determine what, if any, further steps are required.",2023-06-24 00:00:00,In-house Development,,Yes,Automated Targeting System (ATS),X-ray images and associated metadata.,,No,,[],Yes,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-69,Commodity Detection Model (Cargo Insights Team),CBP,ai@hq.dhs.gov,,Deployed,Not High-impact,,Law Enforcement,Computer Vision,"This enhances border security and optimizes resource allocation for inspections. Analyze X-Ray images and predict the commodity code, reducing the need for users to manually enter commodity codes.",This project leverages computer vision with object detection and a neural network to analyze X-Ray images and predict the commodity code.,"The system applies a prediction label alongside a bounding box on record.  Officers use this information along with all information provided to determine what, if any, further steps are required.",2025-01-21 00:00:00,In-house Development,,Yes,Automated Targeting System (ATS),X-ray images and associated metadata.,,No,https://www.dhs.gov/sites/default/files/publications/privacy_pia_cbp_tsacop_09162014.pdf,[],Yes,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-94,Cargo Classification Tool,CBP,ai@hq.dhs.gov,,Deployed,Not High-impact,,Law Enforcement,Classical ML,"The need to improve data classification, enable better machine learning integration, and facilitate nuanced trade entity risk assessments. By categorizing goods based on their descriptions and characteristics, these classifiers help identify potential threats associated with specific cargo types associated with prior violations.","CBP’s Cargo Classification Tool improves trade compliance and enhances cargo risk assessment by streamlining the classification of goods, enabling better integration with machine learning systems, and refining entity risk evaluations. It identifies potential threats linked to specific cargo types and prior violations by categorizing goods based on their descriptions and attributes. These improvements contribute to faster, more accurate classification and risk-based targeting, which strengthens security and facilitates trade.","The Cargo Classification Tool produces outputs that map cargo commodity descriptions to their most probable tariff codes, enhancing classification accuracy. These outputs integrate seamlessly into broader threat-specific risk models, providing features to support predictive risk assessments in cargo security.",2020-10-01 00:00:00,In-house Development,,Yes,Automated Targeting System (ATS),"This model leverages data provided by carriers within the Automated Commercial Environment (ACE), as well as transformations of that data within the Automated Targeting System (ATS).",,Yes,https://www.dhs.gov/sites/default/files/publications/privacy_pia_cbp_tsacop_09162014.pdf,[],Yes,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-165,Automated Data Annotation,CBP,ai@hq.dhs.gov,,Retired,Not High-impact,,,,,,,,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2364,Anomaly Detection Homogenous Cargo,CBP,ai@hq.dhs.gov,,Retired,Not High-impact,,,,,,,,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2367,Computer Vision for Aerial Detection of Land and Open Water Items of Interest,CBP,ai@hq.dhs.gov,,Retired,Not High-impact,,,,,,,,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2369,AI for Software Delivery,CBP,ai@hq.dhs.gov,,Retired,Not High-impact,,,,,,,,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2371,Optical Counter - UAS Detection,CBP,ai@hq.dhs.gov,,Retired,Not High-impact,,,,,,,,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2377,Underwater ROV,CBP,ai@hq.dhs.gov,,Retired,Not High-impact,,,,,,,,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2378,Wellness and Physical Fitness Application,CBP,ai@hq.dhs.gov,,Retired,Not High-impact,,,,,,,,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-P2,AI for Autonomous Situational Awareness,CBP,ai@hq.dhs.gov,,Retired,Not High-impact,,,,,,,,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-107,Malware Reverse Engineering,CISA,ai@hq.dhs.gov,,Pre-deployment,Not High-impact,,Cybersecurity,Classical ML,"This AI capability uses deep learning to assist CISA analysts with understanding the content of malware samples, automating tasks such as triage and indicator extraction.","This use case delivers improved internal government tools for reverse engineering of malware and speeding the development of cyber threat intelligence that can be shared across the government and with CISA partners.  Threat actors can leverage the same malware for long periods of time, so having the ability to improve analysis and generation of shareable cyber threat intelligence forces threat actors to spend more resources generating new malware. Machine learning and other analytical tools are leveraged to guide malware analysts and automate elements of the manual reverse engineering process. Automation of tasks such as triage and indicator extraction allow threat hunting analysts to meet high demand and focus more on adversary response.",A report is generated from malware samples submitted to the analysis pipeline that is then used by human analysts to facilitate the malware triage process. Additional recommendations are displayed via plugins to reverse engineering tools.,,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2335,Draft Tailored Summaries of Media Materials for Different Publication Channels,CISA,ai@hq.dhs.gov,,Pre-deployment,Not High-impact,,Admin Functions,Generative AI,This AI capability accelerates the process of drafting summarized content for CISA’s published products.,The Large Language Models (LLMs) will summarize information from historical publications and pre-production documents intended for external publication.,An interface is provided for pre-publication documents to be uploaded. The system will then automatically generate appropriate messaging using approved templates and  tag the documents for review prior to publication.,,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-106,Critical Infrastructure Network Anomaly Detection,CISA,ai@hq.dhs.gov,,Deployed,Not High-impact,,Cybersecurity,Classical ML,"CyberSentry currently ingests hundreds of terabytes of data from Critical Infrastructure Partners every single day. At petabyte-scale over all collected network data, CyberSentry required a way to filter through the noise to be able to detect Advanced Persistent Threat (APT) and Nation State malicious activity happening within our Partners' networks. CyberSentry has developed numerous machine learning-based detections to identify trends, patterns, and anomalies in network data that ultimately result in both automated and manual triage by analysts.","This use case delivers improved internal government tools for hunting and detection of malicious threat actors on critical infrastructure networks. It automates manual data fusion and correlation processes and highlights potential anomalies, allowing CISA analysts to focus more  time on hunting adversaries.","An interface is provided for analysts to query cybersecurity data, and dashboards are provided with potential cybersecurity alerts, including anomalies detected through predictive models and rule-based heuristics.",2022-01-10 00:00:00,In-house Development,,Yes,CISA Technical Engagement Network,"Cybersecurity cloud, network and host logs; Cybersecurity threat intelligence (CTI)",,No,https://www.dhs.gov/publication/dhscisapia-037-cybersentry,[],Yes,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2306,CISAChat,CISA,ai@hq.dhs.gov,,Deployed,Not High-impact,,Admin Functions,Generative AI,"Currently, retrieving and synthesizing content from hundreds of government documents is a slow, manual process. CISA users need the capability to answer questions, generate summaries, and produce textual responses efficiently using a broad range of information sources—from CISA publications to DHS mandates. AI can streamline and accelerate this workflow by automating information extraction and response generation.","Currently, multiple CISA program offices are using contractor staff to review pre-production content and other internal materials to develop summaries, key themes, and improve clarity. Leveraging a Generative AI solution improves internal agency Customer Experience (CX) and saves staff time.",LLM generated response to the questions posed on uploaded content.,2025-05-06 00:00:00,Vendor Purchased,Microsoft,No,,Current data used is pre-publication content that has already been approved.,,No,,[],Yes,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-4,Automated Detection of Personally Identifiable Information (PII) in Cybersecurity Data,CISA,ai@hq.dhs.gov,,Deployed,Not High-impact,,Admin Functions,NLP,"To enhance privacy, this AI tool uses Natural Language Processing (NLP) to automatically flag potential PII for review and removal by CISA analysts.","Automated PII Detection and Review Process uses analytics to identify and manage potential PII in submissions. If PII is flagged, the submission is sent to CISA analysts, who are guided by AI to review and confirm or reject the detection, redacting information if necessary. Privacy experts monitor the system and provide feedback. The system learns from this feedback, ensuring compliance with privacy regulations and improving efficiency by reducing false positives. Regular audits ensure the process remains trustworthy and effective.",The system sends flagged data rows with potential PII to humans for review.,2020-12-01 00:00:00,Contracting and In House,"Nightwing Intelligence Solutions, LLC. Procurement Instrument ID affiliated with this use case: 70QS0124C00000002",Yes,Trusted Automated eXchange of Indicator Information server,"Cybersecurity indicators of compromise (IOCs), Cybersecurity threat intelligence (CTI)",,Yes,https://www.dhs.gov/publication/dhsnppdpia-029-automated-indicator-sharing,[],Yes,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-2403,Security Operation Center (SOC) Network Anomaly Detection,CISA,ai@hq.dhs.gov,,Retired,Not High-impact,,,,,,,,,,,,,,,,[],,,,,,,,,,,[]
DHS,Department of Homeland Security,DHS-5,Confidence Scoring for Cybersecurity Threat Indicators,CISA,ai@hq.dhs.gov,,Retired,Not High-impact,,,,,,,,,,,,,,,,[],,,,,,,,,,,[]
